Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
1970-01-01,00:07:42.700,1,2,-321,1,1024,204,277,0,-1,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:43.200,1,2,-321,1,1024,204,277,0,-1,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:43.700,1,2,-321,0,1024,204,277,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:44.200,1,2,-321,1,1024,204,277,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:44.700,1,2,-321,1,1024,204,277,0,-3,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:45.200,1,2,-321,1,1024,204,277,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:45.700,1,2,-321,1,1024,204,277,0,-3,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:46.200,1,2,-321,0,1024,204,277,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:46.700,1,2,-321,1,1024,204,277,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:47.200,64,2,-565,1,1024,204,277,0,-1,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:47.700,1,2,-575,0,1024,204,277,0,-1,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:48.200,1,2,-575,0,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:48.700,1,2,-574,1,1024,204,277,0,-1,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:49.200,1,2,-575,1,1024,204,278,0,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:49.700,1,2,-574,1,1024,204,277,0,-1,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:50.200,1,2,-575,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:50.700,1,2,-575,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:51.200,1,2,-575,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:51.700,1,2,-575,0,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:52.200,1,2,-575,0,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:52.700,1,2,-575,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:53.200,1,2,-575,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:53.700,1,2,-575,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:54.200,1,2,-574,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:54.700,1,2,-575,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:55.200,1,2,-575,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:55.700,1,2,-575,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:56.200,1,2,-575,0,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:56.700,1,2,-575,0,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:57.200,1,2,-575,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:57.700,1,2,-574,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:58.200,1,2,-574,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:58.700,1,2,-574,1,1024,204,277,0,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:59.200,1,2,-574,0,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:07:59.700,1,2,-575,0,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:08:00.200,1,2,-574,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:08:00.700,1,2,-575,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:08:01.200,1,2,-574,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:08:01.700,1,2,-575,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:08:02.200,1,2,-575,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:08:02.700,1,2,-574,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:08:03.200,1,2,-574,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:08:03.700,1,2,-575,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:08:04.200,1,2,-575,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:08:04.700,1,2,-575,0,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:08:05.200,-2,2,829,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:08:05.700,1,2,-841,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
